Year,Avg Temp (°C),Min Temp,Max Temp,Rain Days,Total Rain (mm),Snow (cm),Sunshine Hours
1962,9.00,-12.50,34.20,120.00,766,24.00,2127
1963,8.40,-19.10,30.10,136.00,1013,85.00,1788
1964,9.70,-17.80,33.10,115.00,747,71.00,1851
1965,8.70,-13.90,32.10,180.00,1270,100.00,1659
1966,9.90,-14.60,33.40,156.00,1066,43.00,1866
1967,9.60,-12.60,32.50,135.00,992,18.00,2075
1968,9.30,-19.50,31.70,163.00,1268,59.00,1779
1969,9.00,-12.40,31.30,133.00,931,26.00,1812
1970,9.20,-13.70,32.50,153.00,1038,64.00,1792
1971,9.20,-16.80,33.10,101.00,704,29.00,2052
1972,9.10,-9.40,31.10,121.00,761,18.00,1687
1973,9.00,-11.10,30.40,122.00,798,27.00,1923
1974,9.70,-5.50,32.90,145.00,1024,19.00,1550
1975,9.60,-6.40,33.00,132.00,1120,5.00,1587
1976,9.70,-11.10,35.10,122.00,1022,39.00,2023
1977,9.80,-8.70,28.60,180.00,1404,30.00,1529
1978,8.90,-13.00,30.60,147.00,1076,48.00,1601
1979,9.60,-14.80,32.80,165.00,1143,65.00,1756
1980,8.80,-10.50,30.70,140.00,978,26.00,1515
1981,9.50,-10.80,32.40,142.00,987,91.00,1413
1982,10.30,-6.60,32.50,140.00,901,2.00,1685
1983,10.20,-8.20,35.30,134.00,1021,14.00,1583
1984,9.40,-7.20,34.90,135.00,827,92.00,1640
1985,9.10,-18.90,34.10,112.00,848,90.00,1864
1986,9.70,-10.90,34.80,149.00,889,87.00,1597
1987,9.80,-14.90,32.40,143.00,912,23.00,1445
1988,10.40,-6.10,33.80,151.00,909,10.00,1670
1989,10.80,-10.90,35.40,97.00,551,8.00,1903
1990,11.00,-8.10,33.60,122.00,873,34.00,1960
1991,10.40,-9.80,33.60,112.00,745,28.00,1854
1992,10.80,-8.30,33.80,122.00,931,1.00,1649
1993,10.30,-9.80,32.20,135.00,989,29.00,1650
1994,11.80,-5.70,34.30,144.00,884,9.00,1746
1995,10.90,-10.30,35.00,145.00,1030,46.00,1877
1996,10.00,-7.90,31.10,128.00,910,20.00,1771
1997,10.90,-4.70,30.50,127.00,932,19.00,1999
1998,10.80,-9.40,36.10,120.00,826,15.00,2014
1999,11.10,-6.20,32.70,152.00,1231,32.00,1760
2000,11.80,-9.30,34.90,151.00,996,4.00,2015
2001,11.10,-8.30,32.10,160.00,1217,17.00,1815
2002,11.50,-8.80,35.30,157.00,1166,12.00,1824
2003,11.80,-10.10,37.80,113.00,737,13.00,2239
2004,11.20,-10.50,32.80,141.00,990,22.00,2003
2005,10.70,-11.40,36.20,111.00,746,64.00,2097
2006,11.20,-9.30,35.30,134.00,969,16.00,1989
2007,11.20,-11.20,32.10,139.00,1127,12.00,2077
2008,10.80,-8.10,32.20,145.00,1135,21.00,1960
2009,11.20,-12.60,36.20,126.00,886,18.00,2014
2010,10.10,-10.80,35.60,131.00,812,111.00,1777
2011,11.40,-6.80,34.20,110.00,619,5.00,2150
2012,10.90,-11.40,34.50,138.00,970,30.00,1938
2013,10.20,-10.00,34.30,154.00,1047,58.00,1723
2014,11.70,-4.10,33.40,141.00,1005,7.00,1860
2015,11.60,-5.90,39.70,113.00,686,25.00,1996
2016,11.10,-5.80,33.50,140.00,886,12.00,1821
2017,11.30,-7.50,36.50,122.00,693,19.00,2090
2018,12.30,-8.90,34.80,138.00,864,30.00,1979
2019,11.80,-7.10,36.30,129.00,842,14.00,2113
2020,12.20,-5.60,35.50,116.00,794,1.00,2113
2021,10.90,-6.50,32.20,127.00,867,30.00,1950
2022,12.80,-6.30,38.30,123.00,694,11.00,2343
2023,12.70,-6.30,39.30,136.00,1016,1.00,2059
2024,12.00,-6.60,34.20,140.00,908,20.00,1693
